"year","month","cases"
"2009","1","2614"
"2009","2","2057"
"2009","3","2324"
"2009","4","2947"
"2009","5","6234"
"2009","6","8569"
"2009","7","7184"
"2009","8","7302"
"2009","9","5016"
"2009","10","4640"
"2009","11","4723"
"2009","12","3040"
"2010","1","3626"
"2010","2","3710"
"2010","3","4550"
"2010","4","4291"
"2010","5","7616"
"2010","6","13876"
"2010","7","21455"
"2010","8","23462"
"2010","9","16492"
"2010","10","8897"
"2010","11","5723"
"2010","12","3249"
"2011","1","2889"
"2011","2","2256"
"2011","3","2403"
"2011","4","3255"
"2011","5","8058"
"2011","6","12284"
"2011","7","12082"
"2011","8","9784"
"2011","9","6244"
"2011","10","4115"
"2011","11","4143"
"2011","12","2287"
"2012","1","1964"
"2012","2","2019"
"2012","3","2379"
"2012","4","3105"
"2012","5","4924"
"2012","6","8359"
"2012","7","10162"
"2012","8","9708"
"2012","9","8934"
"2012","10","9697"
"2012","11","10576"
"2012","12","7766"
"2013","1","8172"
"2013","2","6099"
"2013","3","7707"
"2013","4","9000"
"2013","5","15656"
"2013","6","28377"
"2013","7","31132"
"2013","8","22253"
"2013","9","11844"
"2013","10","6838"
"2013","11","5002"
"2013","12","2360"
"2014","1","1748"
"2014","2","1528"
"2014","3","1672"
"2014","4","1382"
"2014","5","2474"
"2014","6","4357"
"2014","7","5911"
"2014","8","5751"
"2014","9","4845"
"2014","10","4325"
"2014","11","4229"
"2014","12","2859"
"2015","1","2639"
"2015","2","2183"
"2015","3","2716"
"2015","4","3431"
"2015","5","8065"
"2015","6","12913"
"2015","7","17735"
"2015","8","21852"
"2015","9","21180"
"2015","10","18058"
"2015","11","23472"
"2015","12","10706"
"2016","1","7068"
"2016","2","4060"
"2016","3","3712"
"2016","4","2152"
"2016","5","1981"
"2016","6","3741"
"2016","7","7491"
"2016","8","10258"
"2016","9","7994"
"2016","10","6336"
"2016","11","5253"
"2016","12","3884"
"2017","1","3412"
"2017","2","2465"
"2017","3","2152"
"2017","4","2133"
"2017","5","3739"
"2017","6","7233"
"2017","7","8539"
"2017","8","7678"
"2017","9","5127"
"2017","10","4154"
"2017","11","4100"
"2017","12","2457"
"2018","1","2240"
"2018","2","1991"
"2018","3","2599"
"2018","4","3100"
"2018","5","7293"
"2018","6","13635"
"2018","7","14114"
"2018","8","12408"
"2018","9","9042"
"2018","10","7527"
"2018","11","7246"
"2018","12","5725"
"2019","1","5935"
"2019","2","4855"
"2019","3","5331"
"2019","4","4858"
"2019","5","8052"
"2019","6","17205"
"2019","7","8165"
